RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,e_BPmag,e_RPmag,BP-RP,EDR3Name,_x,_y,e_BP-RP
118.31224818485,-64.69837326619,2.4268,0.0385,12.072,-3.295,0.044,11.614,0.05,9.30917,0.002765,0.002831,0.003788,0.171241,Gaia EDR3 5275800288672531840,-4.214224140487501,-0.5068382387957349,0.004729006766753459
118.6316364354,-64.53419180929,2.3752,0.1206,13.726,-5.162,0.139,12.718,0.139,17.6071,0.003068,0.029549,0.006064,2.69692,Gaia EDR3 5275803106171045248,-4.04789920365959,-0.3724485224853665,0.030164805601893076
118.32895443025,-64.37379809914,2.7571,0.0106,13.687,-4.602,0.015,12.89,0.013,12.1999,0.002761,0.002834,0.003802,0.767956,Gaia EDR3 5275821278175589760,-3.8895678824336284,-0.5056055757753678,0.004742020666340458
117.92943000771,-64.35530679754,2.6209,0.0327,12.778,-4.076,0.049,12.11,0.042,16.0338,0.002906,0.006173,0.004996,1.89414,Gaia EDR3 5275823412776241152,-3.8747203487427266,-0.6789440966560679,0.00794140699120754
117.9977686835,-64.37265700866,2.0612,0.1806,12.149,-4.609,0.291,11.241,0.216,18.9528,0.003388,0.070643,0.012951,2.83314,Gaia EDR3 5275823477199055744,-3.8913681322508853,-0.6489485449009994,0.07182034426261127
118.31723824017,-64.27634646928,2.5171,0.0437,12.479,-4.369,0.071,11.689,0.056,16.5918,0.002864,0.009757,0.004712,2.03475,Gaia EDR3 5275824989025605888,-3.7922226137412154,-0.5124664300298276,0.010835220025454029
119.00911774415,-64.73726459798,2.6821,0.1074,13.109,-6.385,0.126,11.449,0.112,18.0467,0.003019,0.037671,0.006993,2.67984,Gaia EDR3 5275832170211018624,-4.249274648677004,-0.20846974105736688,0.038314570205079945
119.52359933961,-64.72303965407,2.5141,0.0958,12.939,-5.062,0.124,11.908,0.123,17.9626,0.003056,0.049477,0.006841,2.80868,Gaia EDR3 5275835369963857280,-4.234268516185257,0.011300664616472736,0.04994770074788228
119.29296610708,-64.51820136009,2.3951,0.0108,12.292,-4.816,0.014,11.309,0.012,11.5799,0.002765,0.002856,0.003811,0.763231,Gaia EDR3 5275853718066246016,-4.029566071509067,-0.0879205520750142,0.004762400340164611
119.36023724477,-64.29885615181,2.1433,0.179,12.035,-4.66,0.26,11.096,0.198,18.9551,0.00349,0.05357,0.009782,2.98326,Gaia EDR3 5275859176966945408,-3.8101452787288204,-0.0594230518005209,0.05445578411886106
119.40445398429,-64.3209067266,2.323,0.0175,11.729,-4.754,0.023,10.723,0.017,9.45326,0.002764,0.002815,0.003789,0.071275,Gaia EDR3 5275860383852333312,-3.8321619481714273,-0.040201325721162126,0.004720248510407052
120.32988905211,-64.4024748812,2.2962,0.1059,13.296,-5.1,0.155,12.279,0.122,18.1383,0.003069,0.044445,0.007756,2.76701,Gaia EDR3 5275864266505991936,-3.916007833863901,0.3600488183243804,0.04511666611131634
