  NGC 2516      7 58 49.99 -60 49.44 2000.0 3
--ID--  del_RA  del_DC    V     V-I    B-V    U-B   e(V) e(V-I)e(B-V)e(U-B)  --nobs-  BDA  Pmu FRH X HTR Ha  sp rlc Sp       name
    61 -19.121  16.488 16.168  0.898  0.757  0.170  0.012 0.017 0.014 0.021  2 2 2 1     
    62 -19.106   9.578 16.789  0.965  0.785  0.190  0.012 0.014 0.013 0.029  2 2 2 1     
    63 -19.100   9.502 15.900  0.864  0.741  0.191  0.012 0.012 0.012 0.020  2 2 2 1     
    64 -19.073   6.348 16.987  0.822  0.621  0.026  0.004 0.015 0.004 0.034  2 2 2 1     
    65 -18.924   4.181 14.968  0.830  0.671  0.130  0.005 0.006 0.006 0.010  2 2 2 1     
    66 -18.912  10.496 16.417  0.718  0.404  0.092  0.004 0.004 0.021 0.026  2 2 2 1     
    67 -18.880  20.929 15.773  0.991  0.871  0.424  0.006 0.017 0.007 0.019  2 2 2 1     
    68 -18.863   7.353 16.860  0.936  0.825  0.516  0.007 0.009 0.013 0.053  2 2 2 1     
    69 -18.764  14.718 15.897  0.976  0.887  0.475  0.004 0.005 0.007 0.028  2 2 2 1     
    70 -18.762  14.428 15.577  0.935  0.867  0.392  0.016 0.018 0.017 0.020  2 2 2 1     
    71 -18.704  13.360 15.918  1.149  0.995  0.526  0.016 0.020 0.016 0.026  2 2 2 1     
    72 -18.690  12.938 11.681  0.587  0.512  0.014  0.020 0.034 0.024 0.015  1 1 1 1 1326B0.99  10 R                         -60 936B JTP010
    73 -18.684  12.989 10.110  0.216  0.173  0.154  0.016 0.021 0.019 0.011  1 1 1 1 1326A0.99                               -60 936A
    74 -18.664   9.498 16.525  1.414  1.244  1.153  0.003 0.007 0.012 0.094  2 2 1 1     
    75 -18.610   6.857 11.978  0.667  0.538  0.025  0.006 0.007 0.008 0.011  2 2 2 2 1322
    76 -18.593  12.522 14.892  0.807  0.622  0.155  0.011 0.028 0.011 0.010  2 2 2 1     
    77 -18.589  10.789 15.767  0.895  0.851  0.428  0.011 0.014 0.012 0.018  2 2 2 1     
    78 -18.528  10.188 16.404  1.062  0.902  0.342  0.001 0.002 0.007 0.029  2 2 2 1     
    79 -18.350  17.315 16.539  0.000  0.688  0.072  0.022 0.000 0.022 0.027  2 0 2 1     
    80 -18.349   2.598 14.367  0.789  0.623  0.069  0.012 0.016 0.012 0.015  2 2 2 2     
    81 -18.143  14.591 11.276  0.734  0.643  0.134  0.016 0.017 0.018 0.010  1 1 1 2 1259
    82 -18.115  18.014 13.339  0.917  0.866  0.515  0.000 0.007 0.001 0.003  2 2 2 2 1261
    83 -18.072  13.603 16.468  0.969  0.848  0.208  0.015 0.022 0.016 0.036  2 2 2 1     
    84 -17.981  18.623 10.655  0.295  0.263  0.161  0.007 0.012 0.011 0.008  1 1 1 1 1262 0.99                               -60 940
    85 -17.931  15.327 14.641  0.812  0.699  0.123  0.003 0.018 0.011 0.013  2 2 2 1     
    86 -17.924  17.420 15.907  1.512  1.227  1.022  0.003 0.005 0.004 0.042  2 2 2 1     
    87 -17.767   5.877 16.620  0.844  0.756  0.248  0.003 0.003 0.019 0.037  2 2 2 1     
    88 -17.706   7.691 16.882  0.891  0.767  0.240  0.006 0.019 0.019 0.040  2 2 2 1     
    89 -17.649   4.115 14.823  1.148  1.064  0.741  0.006 0.010 0.009 0.020  2 2 2 1     
    90 -17.641  13.605 15.450  0.946  0.764  0.008  0.008 0.016 0.012 0.015  2 2 2 1     
    91 -17.635  18.421 15.569  1.215  1.137  1.005  0.008 0.011 0.012 0.034  2 2 2 1     
    92 -17.590  18.585 15.625  1.085  1.009  0.673  0.007 0.018 0.015 0.032  2 2 2 1     
    93 -17.514  21.884 15.665  0.977  0.849  0.395  0.005 0.007 0.015 0.023  2 2 2 1     
    94 -17.447   4.311 16.606  0.916  0.747  0.115  0.010 0.012 0.010 0.034  2 2 2 1     
    95 -17.444  10.295 16.671  0.813  0.702  0.074  0.000 0.007 0.010 0.031  2 2 2 1     
    96 -17.444  15.397 16.082  0.943  0.839  0.387  0.004 0.027 0.005 0.024  2 2 2 1     
    97 -17.412  18.979 12.346  1.239  1.170  0.925  0.004 0.005 0.004 0.004  2 2 2 2 1263
