# 
# Jeffries file, cross-matched with Gaia EDR3
# 
ID,RAJ2000,DEJ2000,V,B-V,V-I,F1,F2,F3,F4,F5,_x,_y,RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
491,118.60899166666665,-60.32164166666667,13.349,0.731,0.851,1,1,1,1,0,-0.436951,0.439846,118.60915656486,-60.3216082705,5290951112226990336,2.4359,0.0113,11.505,-4.594,0.013,10.548,0.014,13.192973,0.002818,0.947383,0.00541662856396855
501,118.61144166666665,-60.430474999999994,11.025,0.31,0.38,1,1,1,1,0,-0.43433,0.331055,118.61151182354,-60.43042413655,5290940976104125696,2.3511,0.0115,11.794,-4.266,0.016,10.996,0.014,10.959218,0.002766,0.431996,0.0047430001054185105
514,118.61263333333333,-61.18367222222222,18.793,99.999,2.464,0,1,0,1,0,-0.42365,-0.422081,118.61271682406,-61.18362839592,5290686434865193344,2.3737,0.0784,11.454,-4.245,0.111,10.638,0.105,17.793196,0.002942,2.62706,0.03481133828223213
522,118.61332499999999,-60.96255,14.144,0.918,1.102,1,1,1,1,1,-0.426308,-0.200955,118.61335121341,-60.96248830593,5290703687752332544,2.4099,0.0118,12.435,-4.247,0.017,11.687,0.015,13.905771,0.002792,1.220656,0.005186778961937746
575,118.6203,-60.77185,15.263,1.211,1.339,1,1,1,1,0,-0.425453,-0.010233,118.62033135751,-60.7717968721,5290733168407670656,2.3927,0.0172,11.465,-4.646,0.025,10.482,0.022,14.903605,0.002862,1.454225,0.005864494010569028
616,118.62491666666666,-60.87526388888889,15.353,1.199,1.332,1,1,1,1,0,-0.421807,-0.113658,118.6249993671,-60.87525967482,5290731347341644288,0.436,0.0185,1.728,-1.582,0.028,0.696,0.024,15.005407,0.002763,1.419094,0.00522525645303654
634,118.62702916666666,-60.74950555555556,16.097,1.387,1.686,1,1,1,1,1,-0.422459,0.012153,118.62706636702,-60.74945264487,5290733237127149568,1.6709,0.1273,10.742,-6.151,0.187,8.806,0.159,15.571223,0.003171,1.740423,0.0064231630837150635
667,118.63224166666666,-60.56439444444444,14.335,0.881,0.991,1,1,1,1,0,-0.422339,0.197301,118.63226706889,-60.56432332374,5290927335287943296,1.0909,0.0124,16.713,-7.676,0.016,14.847,0.016,14.114281,0.002759,1.103507,0.004823606223563446
711,118.63939583333332,-61.224075,16.258,1.297,1.689,1,1,1,1,0,-0.410245,-0.462307,118.63943927318,-61.22402729869,5290685408371826944,1.356,0.0271,10.974,-6.404,0.039,8.912,0.032,15.753239,0.002934,1.645447,0.007128562337526411
729,118.6428375,-60.87040555555556,19.151,99.999,2.64,0,1,0,1,0,-0.413306,-0.108492,118.64260236655,-60.87020572794,5290731347341645824,3.1422,0.0959,45.807,-33.415,0.138,31.332,0.134,17.973293,0.003045,2.628346,0.0506680988591441
730,118.64330833333332,-60.59600555555556,15.553,1.206,1.39,1,1,1,1,0,-0.416469,0.165746,118.64338198911,-60.59595179562,5290924105472526208,2.4237,0.0183,12.371,-4.93,0.026,11.347,0.024,15.128764,0.002793,1.498868,0.005685085839281585
739,118.64455833333334,-60.53248055555555,14.722,1.023,1.173,1,1,1,1,0,-0.416662,0.229266,118.64465492658,-60.5324354349,5290927816324296960,2.4739,0.0141,11.987,-4.572,0.018,11.081,0.019,14.420133,0.002788,1.266886,0.0051828063826463745
756,118.64657499999998,-61.020241666666664,14.087,0.842,1.002,1,1,1,1,0,-0.409436,-0.258469,118.646580729,-61.02021881537,5290691593124499840,1.13,0.011,8.864,-6.391,0.014,6.142,0.014,13.839735,0.002759,1.091044,0.004787843460264757
758,118.64682499999999,-61.01701111111111,12.632,0.639,0.794,1,1,1,1,1,-0.409335,-0.255206,118.64687735274,-61.01695701361,5290691588824895360,2.4459,0.0087,12.283,-4.659,0.011,11.365,0.011,12.485155,0.002762,0.879287,0.00476880739808183
764,118.64707499999999,-60.883625,18.157,99.999,2.371,0,1,0,1,0,-0.410965,-0.121834,118.64705906978,-60.88357653634,5290728392404145408,2.6798,0.0555,13.014,-10.479,0.081,7.718,0.075,17.166912,0.002861,2.351841,0.016191811418121198
765,118.64711666666666,-61.09395,19.166,99.999,2.611,0,1,0,1,0,-0.408198,-0.332128,118.64717764027,-61.09388628206,5290690351875533824,2.4077,0.0993,12.144,-3.879,0.133,11.508,0.131,18.070904,0.003036,2.684879,0.03239093110733312
766,118.64713333333333,-60.8207,15.462,1.095,1.215,1,1,1,1,0,-0.411747,-0.058892,118.64711495362,-60.82062977947,5290732030238476672,0.3632,0.055,8.223,-3.751,0.085,7.318,0.071,15.358038,0.003677,1.356229,0.009750756380917328
774,118.64799583333333,-60.83207222222222,19.034,99.999,2.631,0,1,0,1,0,-0.411174,-0.070277,118.64799013439,-60.83202165959,5290732034536302080,2.497,0.0802,12.266,-4.308,0.119,11.485,0.118,17.821554,0.002991,2.669138,0.0261379805073001
844,118.65758749999999,-61.034305555555555,14.683,1.043,1.185,1,1,1,1,1,-0.403923,-0.272451,118.65759164646,-61.0342695609,5290691490045284352,0.4408,0.0137,11.805,-9.169,0.017,7.435,0.017,14.381851,0.00276,1.310659,0.004807641625579011
878,118.66218333333333,-60.85745,15.007,1.187,1.331,1,1,1,1,1,-0.403903,-0.095602,118.66225194605,-60.85743669896,5290731381701384960,0.1781,0.0163,5.012,-2.062,0.023,4.568,0.02,14.630791,0.002761,1.451911,0.004927598299374656
919,118.66740416666666,-61.09608333333333,12.701,0.663,0.843,1,1,1,1,1,-0.398398,-0.334188,118.66739543242,-61.09607089515,5290690287454517632,1.1428,0.0101,7.705,-6.531,0.013,4.089,0.012,12.524687,0.002759,0.927648,0.004726816793572604
922,118.66765833333332,-60.40717222222222,20.186,99.999,2.862,0,1,0,1,0,-0.406862,0.354706,118.66776801962,-60.40713069027,5290946984761533184,2.5762,0.1472,12.224,-4.547,0.174,11.347,0.195,18.893164,0.003532,2.867071,0.07246063993645102
969,118.67339583333333,-60.597686111111116,20.137,99.999,2.924,0,1,0,1,0,-0.401692,0.164259,118.67343960492,-60.59762618816,5290924066815867008,2.4737,0.1535,12.196,-4.537,0.213,11.321,0.218,18.861755,0.003546,2.849827,0.07303246123471398
982,118.67450416666665,-60.73119166666667,19.019,99.999,2.609,0,1,0,1,0,-0.399456,0.030731,118.67461232171,-60.73117090735,5290733370266739584,1.3808,0.0861,6.723,-1.652,0.123,6.516,0.111,17.89403,0.002952,2.551071,0.032987948860151946
987,118.67489166666667,-60.96356111111111,11.111,0.472,0.613,1,1,1,1,1,-0.396417,-0.201595,118.67491233209,-60.9635142024,5290726914930519424,2.5163,0.0276,12.201,-5.072,0.037,11.097,0.037,11.00155,0.00277,0.685944,0.004787291509820558
1002,118.67623749999998,-60.89821388888889,14.319,0.878,0.961,1,1,1,1,0,-0.396573,-0.136166,118.6762670363,-60.89808913545,5290728151885977216,1.4251,0.0137,23.433,-6.015,0.02,22.648,0.017,14.193659,0.00276,1.056114,0.004808158171275151
1029,118.6807875,-60.41211388888889,13.869,0.831,0.93,1,1,1,1,0,-0.400336,0.349853,118.68086078293,-60.4120648585,5290946782899935872,2.445,0.0112,12.234,-4.075,0.014,11.535,0.014,13.711014,0.002777,1.050171,0.004937410252348897
1054,118.68508333333332,-61.13632777777778,13.26,0.696,0.892,1,1,1,1,1,-0.389413,-0.374361,118.68496113671,-61.13635267832,5290687023279452160,1.4192,0.0098,16.626,-16.481,0.011,-2.186,0.012,13.072857,0.002759,0.979468,0.004768413153240814
1055,118.68509583333332,-60.722925000000004,12.805,0.638,0.825,1,1,1,1,1,-0.394442,0.039148,118.68507679283,-60.72281608447,5290734852034856576,1.799,0.0527,23.77,-12.27,0.083,20.358,0.071,12.642527,0.002762,0.897925,0.004759681186802326
1062,118.68649999999998,-61.13209166666667,18.771,99.999,2.403,0,1,0,1,0,-0.38869,-0.369929,118.68657224874,-61.1319296495,5290687053340580864,2.1486,0.0793,27.362,-0.878,0.093,27.348,0.098,17.762232,0.00293,2.49614,0.03670079634013409
1075,118.68795416666666,-60.91003611111111,20.248,99.999,3.274,0,1,0,1,1,-0.390699,-0.147957,118.68804713815,-60.90995158008,5290728083166499968,2.3063,0.1567,12.531,-4.676,0.226,11.626,0.204,18.604378,0.003256,3.164949,0.07340660777477732
1107,118.694075,-61.20587777777778,15.388,1.159,1.277,1,1,1,1,0,-0.384145,-0.443805,118.69412046822,-61.20585483121,5290685545810782208,0.4275,0.0195,7.783,-3.459,0.026,6.972,0.023,15.034939,0.002765,1.398688,0.005162717985712564
1135,118.69731249999998,-60.666425,15.484,1.112,1.28,1,1,1,1,0,-0.38907,0.095626,118.69745792252,-60.66640856907,5290922937241809664,0.1824,0.02,5.084,-0.676,0.031,5.039,0.029,15.144616,0.002766,1.403625,0.005171583606594792
1138,118.6978625,-60.966436111111115,16.862,1.581,1.888,1,1,1,1,0,-0.385222,-0.204318,118.6979081496,-60.9663743118,5290726914935470976,2.4031,0.0316,12.093,-4.79,0.043,11.104,0.042,16.139017,0.002945,1.954497,0.008490506698660569
1155,118.70065833333332,-60.97461388888889,15.898,1.295,1.525,1,1,1,1,0,-0.383769,-0.212484,118.70069842297,-60.97455735813,5290726846215993600,2.436,0.0222,11.685,-3.972,0.032,10.989,0.03,15.446455,0.002884,1.641991,0.007742998191915066
1187,118.70502916666666,-60.37003055555556,19.771,99.999,2.936,0,1,0,1,1,-0.388856,0.392087,118.70513217737,-60.36997372942,5290947190920004992,2.3504,0.1109,11.475,-4.504,0.129,10.554,0.14,18.403795,0.003369,2.817915,0.061790210915645856
1193,118.70598333333332,-60.85129722222222,18.667,99.999,2.729,0,1,0,1,1,-0.382653,-0.089154,118.70604399731,-60.851250335,5290728834785864192,2.9192,0.2034,10.711,-8.037,0.287,7.08,0.282,17.742174,0.003115,2.826811,0.02958546940645019
1196,118.70635416666666,-60.522975,16.14,1.425,1.906,1,1,1,1,1,-0.386576,0.239443,118.70605681495,-60.52263279777,5290927885043793536,3.5036,0.0208,72.378,-39.052,0.027,60.939,0.027,15.431438,0.002774,1.950004,0.005300250277109563
1215,118.70907083333331,-60.84464722222222,13.021,0.683,0.811,1,1,1,1,0,-0.381234,-0.08249,118.70911898194,-60.84460450685,5290728834785867264,2.4287,0.0125,12.204,-4.372,0.018,11.395,0.017,12.833573,0.002787,0.889027,0.005125480270179566
1220,118.709925,-60.682069444444444,13.312,0.82,0.957,1,1,1,1,1,-0.382628,0.080001,118.71022814125,-60.68210901164,5290922628004248960,1.4876,0.0091,15.227,14.441,0.013,-4.829,0.012,13.101371,0.002759,1.052881,0.004733643100192493
1248,118.71419166666665,-60.803038888888885,15.645,1.255,1.426,1,1,1,1,0,-0.37924,-0.040839,118.71422544214,-60.80298035383,5290731965816830080,2.4305,0.0212,13.084,-5.588,0.03,11.83,0.027,15.221982,0.002874,1.53837,0.0062687505134596
1258,118.71505833333333,-61.10206111111111,13.184,0.84,0.962,1,1,1,1,1,-0.375339,-0.33996,118.71495953808,-61.10212411135,5290690115655826688,2.7417,0.0133,16.329,-12.809,0.016,-10.127,0.019,12.952686,0.002759,1.074303,0.004748600004211768
1279,118.71772916666666,-60.336475,15.129,1.078,1.164,1,1,1,1,0,-0.382967,0.425668,118.71784153159,-60.33646549307,5290947985490817536,0.1373,0.0189,4.044,-2.061,0.022,3.479,0.023,14.865139,0.002765,1.285571,0.004912922551801524
1295,118.72040416666667,-60.75318055555555,19.551,99.999,2.731,0,1,0,1,0,-0.376882,0.009186,118.7202633132,-60.75298674103,5290734504139661184,1.381,0.1265,37.341,-13.279,0.178,34.9,0.167,18.340359,0.003082,2.660912,0.04663592251687534
