# 
# Source: WEBDA
# 
# F1  V vs B-V membership flag
# F2  V vs V-I membership flag
# F3  B-V vs V-I membership flag
# F4  Candidate membership flag
# F5  Binarity flag
# 
# ID    RAh RAm RAs  DE- DEd DEm DEs      V     B-V     V-I  F1 F2 F3 F4 F5
     ID              RAJ2000               DEJ2000     Vmag      B-V      V-I   F1   F2   F3   F4   F5  
     59   118.55268749999999    -60.32656666666667   19.535   -9.999    1.949    0   -1    0   -1    0  
     60   118.55288333333331    -60.81611944444444   15.347    0.722    0.961   -1   -1   -1   -1    0  
     61          118.5528875    -60.52118055555555   15.971    0.757    0.903   -1   -1    1   -1    0  
     62   118.55291666666665    -60.52121666666667   15.978    0.742    0.942   -1   -1    1   -1    0  
     63   118.55295416666667    -61.12692222222222   19.403   -9.999    0.926    0   -1    0   -1    0  
     64   118.55350833333333   -60.526044444444445   18.904      0.7    0.974   -1   -1    1   -1    0  
     65   118.55354166666666    -60.52607777777778   18.858   -9.999    0.857    0   -1    0   -1    0  
     66           118.553675              -61.2275   17.887    0.911    1.117   -1   -1    1   -1    0  
     67   118.55372916666666            -61.174025   18.994   -9.999    1.929    0   -1    0   -1    0  
     68   118.55378333333333    -61.11839444444445   16.581    0.941    1.068   -1   -1    1   -1    0  
     69   118.55380416666667   -60.718133333333334    19.46   -9.999    0.886    0   -1    0   -1    0  
     70   118.55395833333333   -60.517630555555556   19.493    0.909   -9.999   -1    0    0   -1    0  
     71           118.553975    -60.44917222222222   20.271    0.769   -9.999   -1    0    0   -1    0  
     72   118.55471666666666   -60.677305555555556   18.339    0.614    1.033   -1   -1   -1   -1    0  
     73   118.55494166666665    -61.18473333333333   16.723    1.092    1.172   -1   -1    1   -1    0  
     74   118.55501666666665    -60.31696388888889   17.691   -9.999    0.858    0   -1    0   -1    0  
     75   118.55504166666665    -60.95337222222223   18.246   -9.999    2.389    0    1    0    1    0  
     76   118.55515833333332   -60.835036111111116    19.45   -9.999    1.192    0   -1    0   -1    0  
     77   118.55521666666665    -60.48874722222222   17.721    0.968    1.095   -1   -1    1   -1    0  
     78           118.555325    -60.48878611111111   17.727    0.918    1.075   -1   -1    1   -1    0  
     79   118.55579999999999    -60.48986111111111    17.62    0.919    1.036   -1   -1    1   -1    0  
     80   118.55585833333332    -60.74973333333333   20.029   -9.999    1.354    0   -1    0   -1    0  
     81   118.55590833333333   -60.489897222222226   17.671    0.859    1.077   -1   -1    1   -1    0  
     82           118.556175               -60.501   19.251    0.748    1.714   -1   -1   -1   -1    0  
     83   118.55619583333332    -61.19289444444444   19.979   -9.999    0.992    0   -1    0   -1    0  
     84   118.55623333333332    -60.33842777777778   19.819   -9.999    0.844    0   -1    0   -1    0  
     85   118.55624583333334    -60.50106111111111   19.078    1.055    1.451   -1   -1   -1   -1    0  
     86             118.5563    -60.81489722222222   16.487    1.352     1.46    1   -1   -1   -1    0  
     87   118.55646666666665              -60.6757   19.266   -9.999    1.506    0   -1    0   -1    0  
     88   118.55656249999998   -60.456700000000005   19.029     0.57     0.75   -1   -1    1   -1    0  
     89   118.55670416666665    -60.37963055555556   18.459    1.331    1.574   -1   -1    1   -1    0  
     90   118.55701249999998   -60.977383333333336   19.447   -9.999    1.434    0   -1    0   -1    0  
     91           118.557375    -61.13868611111111   19.229   -9.999     1.21    0   -1    0   -1    0  
     92   118.55739583333333    -60.99008055555556   17.643    0.449    0.689   -1   -1    1   -1    0  
     93   118.55799999999998    -61.02916388888889   19.745   -9.999     0.88    0   -1    0   -1    0  
     94   118.55801249999999   -60.718611111111116   19.346    0.582    1.409   -1   -1   -1   -1    0  
     95   118.55817083333334    -60.72569444444444   19.965   -9.999     1.35    0   -1    0   -1    0  
     96   118.55832083333333    -60.83667777777778    19.65   -9.999    2.849    0    1    0    1    0  
     97   118.55842083333333   -60.535133333333334   13.675    0.662    0.793   -1   -1    1   -1    0  
     98   118.55879583333332    -61.06068055555555   17.511    0.698    0.958   -1   -1    1   -1    0  
     99          118.5589875    -60.74784722222223   18.741    0.697    1.216   -1   -1   -1   -1    0  
    100   118.55903333333333    -60.36015555555556   19.581    1.012    1.131   -1   -1    1   -1    0  
    101   118.55910416666666   -60.453633333333336   17.239    0.629    0.771   -1   -1    1   -1    0  
    102   118.55910833333333            -60.748775    18.15    0.754    1.104   -1   -1   -1   -1    0  
    103   118.55917916666665    -60.97117777777778   19.778   -9.999     0.83    0   -1    0   -1    0  
    104   118.55920416666666    -60.94030833333333   18.191    1.068    1.427   -1   -1   -1   -1    0  
    105   118.55955833333331   -60.436905555555555   19.857    0.392   -9.999   -1    0    0   -1    0  
    106   118.55958333333332    -60.58099166666667   19.968   -9.999    1.766    0   -1    0   -1    0  
    107   118.55960833333333    -61.10360277777778   18.218   -9.999    2.381    0    1    0    1    0  
    108   118.55989166666666    -60.89628333333333    19.18   -9.999    1.357    0   -1    0   -1    0  
    109   118.55993749999999    -60.31644166666666   19.936   -9.999    0.251    0   -1    0   -1    0  
    110   118.56017916666666   -60.424755555555556   13.805    0.525    0.729   -1   -1    1   -1    0  
    111   118.56023333333331   -60.910038888888884   14.092    1.144    1.334   -1   -1    1   -1    0  
    112   118.56037916666666    -60.39608888888889   18.125     1.47    1.835    1   -1    1   -1    0  
